Treat,ID,Rich,Rare,PCC,DCC,PIC,PCFrug,CC
+1,2,10,1,0.856,3.01,0.883,0.99,11
+1,14,13,2,0.92,4.5,0.86,0.984,13
+1,59,11,1,0.92,4.41,0.905,0.994,11
+1,62,12,0,0.854,2.23,0.84,0.991,9
+2,3,14,2,0.802,2.86,0.878,0.983,11
+2,12,15,3,0.832,2.67,0.831,0.985,11
+2,13,14,3,0.516,1.08,0.75,0.963,10
+2,18,12,1,0.492,0.6,0.733,0.967,8
summer,7,9,1,0.891,2.56,0.871,0.992,10
summer,10,9,0,0.953,4.37,0.855,0.991,10
summer,15,12,1,0.893,2.67,0.887,1,9
summer,19,11,1,0.978,5.09,0.898,0.992,11
control,9,16,4,0.718,1.39,0.835,1,6
control,26,11,1,0.7,1.47,0.837,0.993,9
control,29,12,3,0.695,1.04,0.79,1,7
control,42,14,2,0.605,0.78,0.77,0.974,7
previous,A,12,2,0.687,0.95,0.805,0.965,6
previous,B,15,3,0.72,1.41,0.848,0.998,9
previous,C,10,1,0.656,1.02,0.782,0.982,8
previous,D,12,1,0.692,1.24,0.798,0.97,9
